 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120010	 ResultTime:106691	 Fitness:-10234	 Generations:7948	 Hard broken:3
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120011	 ResultTime:111208	 Fitness:-12239	 Generations:7924	 Hard broken:4
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120003	 ResultTime:107529	 Fitness:-10208	 Generations:7920	 Hard broken:3
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120012	 ResultTime:119110	 Fitness:-15223	 Generations:7972	 Hard broken:6
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120002	 ResultTime:118524	 Fitness:-20227	 Generations:31795	 Hard broken:8
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120004	 ResultTime:99275	 Fitness:-19223	 Generations:31672	 Hard broken:8
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120002	 ResultTime:111018	 Fitness:-12180	 Generations:32197	 Hard broken:6
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120002	 ResultTime:104174	 Fitness:-23231	 Generations:31359	 Hard broken:8
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120004	 ResultTime:87298	 Fitness:-16214	 Generations:31704	 Hard broken:6
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120002	 ResultTime:117457	 Fitness:-22225	 Generations:31829	 Hard broken:11
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120003	 ResultTime:49862	 Fitness:-27218	 Generations:31477	 Hard broken:9
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120002	 ResultTime:119310	 Fitness:-26243	 Generations:31978	 Hard broken:8
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:100	 Time:120005	 ResultTime:102964	 Fitness:-20226	 Generations:31609	 Hard broken:8
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120004	 ResultTime:114091	 Fitness:-13209	 Generations:15254	 Hard broken:6
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120006	 ResultTime:89638	 Fitness:-16213	 Generations:15237	 Hard broken:6
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120005	 ResultTime:93362	 Fitness:-25247	 Generations:15833	 Hard broken:9
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120008	 ResultTime:109176	 Fitness:-13221	 Generations:15224	 Hard broken:6
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120006	 ResultTime:81350	 Fitness:-14241	 Generations:15420	 Hard broken:5
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120002	 ResultTime:113146	 Fitness:-19230	 Generations:15444	 Hard broken:8
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120008	 ResultTime:118264	 Fitness:-12212	 Generations:15362	 Hard broken:5
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120003	 ResultTime:97975	 Fitness:-28204	 Generations:15842	 Hard broken:11
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:100	 Time:120006	 ResultTime:92167	 Fitness:-10217	 Generations:15590	 Hard broken:5
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:100	 Time:120003	 ResultTime:112589	 Fitness:-16220	 Generations:10281	 Hard broken:7
